id,url,title,published_date,domain,country,severity,incident_type,description,language,source_country,collected_at,matched_query,validation_status,validation_reason,evidence_text,incident_fingerprint
1123,https://www.freemalaysiatoday.com/category/highlight/2026/09/19/trump-says-cnn-ms-now-politico-banned-from-white-house,"Trump says CNN, MS NOW, Politico banned from White House","Fri, 18 Sep 2026 23:13:00 GMT",freemalaysiatoday.com,MY,MEDIUM,CENSORSHIP,"It is extremely rare for US presidents to outright bar news outlets from the White House, although Trump banned CNN reporter Jim Acosta in his first term and Richard Nixon put restrictions on The Washington Post over its reporting on the Watergate scandal.",en,MY,2026-09-19 06:44:53,rss:freemalaysiatoday.com,validated,media subject and harm action found in returned text,"It is extremely rare for US presidents to outright bar news outlets from the White House, although Trump banned CNN reporter Jim Acosta in his first term and Richard Nixon put restrictions on The Washington Post over its reporting on the Watergate scandal.",it is extremely rare for us presidents outright bar news outlets from
1102,https://abc7chicago.com/post/los-angeles-california-crash-news-district-attorney-police-expected-speak-thursday-deadly-bus-helicopter-crashes/19844333/,"Driver who slammed into LA bus before news helicopter crash to face murder charges, prosecutor says","Thu, 17 Sep 2026 22:44:07 +0000",abc7chicago.com,US,CRITICAL,KILLING,"The news helicopter crash killed both people on board, pilot George Marciniw and reporter Eliana Moreno, and a man on the ground, Edy Gutierrez Mejia.",en,US,2026-09-18 06:32:03,rss:abc7chicago.com,validated,media subject and harm action found in returned text,"The news helicopter crash killed both people on board, pilot George Marciniw and reporter Eliana Moreno, and a man on the ground, Edy Gutierrez Mejia.",news helicopter crash killed both people board pilot george marciniw reporter eliana
1103,https://nypost.com/2026/09/17/us-news/haunting-footage-shows-nbc4-helicopter-drop-out-of-sky-into-la-parking-lot-killing-3/,Haunting footage shows NBC4 helicopter drop out of sky into LA parking lot — killing 3,"Thu, 17 Sep 2026 23:49:11 -0400",nypost.com,US,CRITICAL,KILLING,"Reporter Eliana Moreno, 38, and pilot George Marciniw were killed in the crash, along with 29-year-old Edy Gutierrez Mejia, who was on the ground.",en,US,2026-09-18 06:32:03,rss:nypost.com,validated,media subject and harm action found in returned text,"Reporter Eliana Moreno, 38, and pilot George Marciniw were killed in the crash, along with 29-year-old Edy Gutierrez Mejia, who was on the ground.",reporter eliana moreno 38 pilot george marciniw killed crash along with 29
1104,https://www.lapresse.it/esteri/2026/09/18/la-russia-da-oggi-al-voto-per-il-rinnovo-della-duma-escluso-lunico-partito-contrario-alla-guerra/,"La Russia da oggi al voto per il rinnovo della Duma, escluso l’unico partito contrario alla guerra","Fri, 18 Sep 2026 05:46:48 +0000",lapresse.it,IT,HIGH,ATTACK,"Nel tentativo apparente di portare volti nuovi in quello che è ampiamente considerato un partito di burocrati, al terzo posto della lista figura il corrispondente di guerra Yevgeny Poddubny, rimasto gravemente ferito da un drone ucraino.",it,IT,2026-09-18 06:32:03,rss:lapresse.it,validated,media subject and harm action found in returned text,"Nel tentativo apparente di portare volti nuovi in quello che è ampiamente considerato un partito di burocrati, al terzo posto della lista figura il corrispondente di guerra Yevgeny Poddubny, rimasto gravemente ferito da un drone ucraino.",nel tentativo apparente di portare volti nuovi quello che ampiamente considerato un
1105,https://www.dailymaverick.co.za/article/2026-09-18-indonesia-calls-off-search-for-journalists-missing-while-covering-volcano-eruption/,Indonesia calls off search for journalists missing while covering volcano eruption,"Fri, 18 Sep 2026 04:47:07 GMT",dailymaverick.co.za,ZA,CRITICAL,DISAPPEARANCE,"Indonesia calls off search for journalists missing while covering volcano eruption JAKARTA, Sept 18 (Reuters)&nbsp;-&nbsp;Indonesian rescuers called off a search on its 10th day for eight people missing at sea, including five journalists who were covering the eruption of Mount&nbsp;Anak Krakatau&nbsp;earlier this month.",en,ZA,2026-09-18 06:32:03,rss:dailymaverick.co.za,validated,media subject and harm action found in returned text,"Indonesia calls off search for journalists missing while covering volcano eruption JAKARTA, Sept 18 (Reuters)&nbsp;-&nbsp;Indonesian rescuers called off a search on its 10th day for eight people missing at sea, including five journalists who were covering the eruption of Mount&nbsp;Anak Krakatau&nbsp;earlier this month.",indonesia calls off search for journalists missing while covering volcano eruption jakarta
1106,https://www.theguardian.com/books/2026/sep/18/olga-tokarczuk-j-m-coetzee-lead-calls-for-release-of-disappeared-eritrean-writers,‘We demand the truth’: Olga Tokarczuk and JM Coetzee lead calls for proof of life of disappeared Eritrean writers,"Fri, 18 Sep 2026 08:30:12 GMT",www.theguardian.com,UK,CRITICAL,DISAPPEARANCE,"""No writer or journalist should be disappeared for peacefully expressing their views."" Eritrea operates as a repressive dictatorship under Afwerki, with no national elections held since independence in 1993.",en,UK,2026-09-18 13:00:46,rss:www.theguardian.com,validated,media subject and harm action found in returned text,"""No writer or journalist should be disappeared for peacefully expressing their views."" Eritrea operates as a repressive dictatorship under Afwerki, with no national elections held since independence in 1993.",no writer journalist should be disappeared for peacefully expressing views eritrea operates
1107,https://www.liberation.fr/culture/livres/le-livre-des-souterrains-de-phoebe-hadjimarkos-clarke-femme-ou-ne-plus-letre-20260918_4TBQCUS3WRFM5N6HB3HOBDF56I/,«Le Livre des souterrains» de Phœbe Hadjimarkos Clarke : femme ou ne plus l’être,"Fri, 18 Sep 2026 11:36:00 +0000",www.liberation.fr,FR,CRITICAL,DISAPPEARANCE,«Le Livre des souterrains» de Phœbe Hadjimarkos Clarke : femme ou ne plus l'être Le journal d'une artiste disparue qui explose les frontières par l'écrivaine franco-américaine.,fr,FR,2026-09-18 13:00:46,rss:www.liberation.fr,validated,media subject and harm action found in returned text,«Le Livre des souterrains» de Phœbe Hadjimarkos Clarke : femme ou ne plus l'être Le journal d'une artiste disparue qui explose les frontières par l'écrivaine franco-américaine.,le livre des souterrains de ph be hadjimarkos clarke femme ou ne
1108,https://www.20minutes.fr/justice/4246547-20260918-stephane-plaza-ancien-animateur-tv-condamne-appel-18-mois-prison-sursis-violences-conjugales?at_medium=display&at_campaign=149,Stéphane Plaza : L’ancien animateur TV condamné en appel à 18 mois de prison avec sursis pour violences conjugales,"Fri, 18 Sep 2026 11:59:19 GMT",20minutes.fr,FR,HIGH,DETENTION,Stéphane Plaza : L'ancien animateur TV condamné en appel à 18 mois de prison avec sursis pour violences conjugales J.D.,fr,FR,2026-09-18 13:00:46,rss:20minutes.fr,validated,media subject and harm action found in returned text,Stéphane Plaza : L'ancien animateur TV condamné en appel à 18 mois de prison avec sursis pour violences conjugales J.D.,st phane plaza l ancien animateur tv condamn en appel 18 mois
1112,https://www.whec.com/ap-top-news/indonesian-divers-recover-3-bodies-from-capsized-ferry-as-salvage-operation-begins/,Indonesian divers recover 3 bodies from capsized ferry as salvage operation begins,"Fri, 18 Sep 2026 15:17:43 +0000",whec.com,US,CRITICAL,DISAPPEARANCE,"Authorities on Thursday ended an unsuccessful, 10-day search for eight people, including five photojournalists, who disappeared while traveling by speedboat to Anak Krakatau volcano to report on its eruption.",en,US,2026-09-18 17:42:29,rss:whec.com,validated,media subject and harm action found in returned text,"Authorities on Thursday ended an unsuccessful, 10-day search for eight people, including five photojournalists, who disappeared while traveling by speedboat to Anak Krakatau volcano to report on its eruption.",authorities thursday ended unsuccessful 10 day search for eight people including five
1113,https://truthout.org/articles/israel-detains-palestinian-american-journalist-reporting-on-settler-violence/,Israel Detains Palestinian American Journalist Reporting on Settler Violence,"Fri, 18 Sep 2026 14:38:12 +0000",truthout.org,US,HIGH,DETENTION,Israel Detains Palestinian American Journalist Reporting on Settler Violence Naqaa Hamed's arrest comes as nearly 40 Palestinian journalists are currently in Israeli detention.,en,US,2026-09-18 17:42:29,rss:truthout.org,validated,media subject and harm action found in returned text,Israel Detains Palestinian American Journalist Reporting on Settler Violence Naqaa Hamed's arrest comes as nearly 40 Palestinian journalists are currently in Israeli detention.,israel detains palestinian american journalist reporting settler violence naqaa hamed s arrest
1114,https://www.sudouest.fr/culture/programmes-tv/stephane-plaza-sa-peine-de-prison-pour-violences-conjugales-alourdie-en-appel-d-un-an-avec-sursis-a-18-mois-avec-sursis-30684287.php,"Stéphane Plaza : sa peine de prison pour violences conjugales alourdie en appel, d’un an avec sursis à 18 mois avec sursis","Fri, 18 Sep 2026 14:46:01 +0200",sudouest.fr,FR,HIGH,DETENTION,"Stéphane Plaza : sa peine de prison pour violences conjugales alourdie en appel, d'un an avec sursis à 18 mois avec sursis L'agent immobilier et ancien animateur de télévision a été condamné en appel à 18 mois d'emprisonnement avec sursis.",fr,FR,2026-09-18 17:42:29,rss:sudouest.fr,validated,media subject and harm action found in returned text,"Stéphane Plaza : sa peine de prison pour violences conjugales alourdie en appel, d'un an avec sursis à 18 mois avec sursis L'agent immobilier et ancien animateur de télévision a été condamné en appel à 18 mois d'emprisonnement avec sursis.",st phane plaza sa peine de prison pour violences conjugales alourdie en
1115,https://www.seneweb.com/fr/news/Afrique/rdc-constant-mutamba-condamne-a-10-ans-de-travaux-forces_n_504611.html,RDC : Constant Mutamba condamné à 10 ans de travaux forcés,"Fri, 18 Sep 2026 14:05:31 +0000",seneweb.com,SN,HIGH,DETENTION,"Selon les informations rapportées par le média Actualite.cd, Constant Mutamba a été condamné à dix ans de travaux forcés.",fr,SN,2026-09-18 17:42:29,rss:seneweb.com,validated,media subject and harm action found in returned text,"Selon les informations rapportées par le média Actualite.cd, Constant Mutamba a été condamné à dix ans de travaux forcés.",selon les informations rapport es par le m dia actualite cd constant
1119,https://www.bbc.co.uk/news/articles/c6e30580jqjpo?at_medium=RSS&at_campaign=rss,Trump says he is banning CNN and Politico from White House,"Fri, 18 Sep 2026 21:34:51 GMT",www.bbc.com,UK,MEDIUM,CENSORSHIP,"In his first term, Trump also banned CNN correspondent Jim Acosta from the White House, although they restored his credentials after CNN sued.",en,UK,2026-09-18 22:24:12,rss:www.bbc.com,validated,media subject and harm action found in returned text,"In his first term, Trump also banned CNN correspondent Jim Acosta from the White House, although they restored his credentials after CNN sued.",first term trump also banned cnn correspondent jim acosta from white house
1120,https://www.sudouest.fr/international/etats-unis/donald-trump/etats-unis-en-guerre-contre-les-medias-donald-trump-annonce-interdire-l-acces-de-la-maison-blanche-a-cnn-msnow-et-politico-30690825.php,"États-Unis : en guerre contre les médias, Donald Trump annonce interdire l’accès de la Maison-Blanche à CNN, MSNOW et Politico","Fri, 18 Sep 2026 21:37:19 +0200",sudouest.fr,FR,HIGH,ATTACK,"États-Unis : en guerre contre les médias, Donald Trump annonce interdire l'accès de la Maison-Blanche à CNN, MSNOW et Politico Le républicain de 80 ans, de plus en plus impopulaire aux États-Unis, a de nombreuses fois attaqué des journalistes ou médias dont la couverture lui déplaît",fr,FR,2026-09-18 22:24:12,rss:sudouest.fr,validated,media subject and harm action found in returned text,"États-Unis : en guerre contre les médias, Donald Trump annonce interdire l'accès de la Maison-Blanche à CNN, MSNOW et Politico Le républicain de 80 ans, de plus en plus impopulaire aux États-Unis, a de nombreuses fois attaqué des journalistes ou médias dont la couverture lui déplaît",tats unis en guerre contre les m dias donald trump annonce interdire
1082,https://www.theguardian.com/global-development/2026/sep/17/turkey-raids-detains-dozens-crackdown-lgbtq-activists-journalists,Turkey detains dozens in crackdown on LGBTQ+ activists and journalists,"Thu, 17 Sep 2026 04:00:38 GMT",www.theguardian.com,UK,HIGH,DETENTION,"Turkey detains dozens in crackdown on LGBTQ+ activists and journalists Turkish authorities have used accusations of obscenity to justify a wave of raids and arrests targeting the LGBTQ+ community, which has grown to include journalists as well as more than 150 arrested during protests against the raids.",en,UK,2026-09-17 06:58:23,rss:www.theguardian.com,validated,media subject and harm action found in returned text,"Turkey detains dozens in crackdown on LGBTQ+ activists and journalists Turkish authorities have used accusations of obscenity to justify a wave of raids and arrests targeting the LGBTQ+ community, which has grown to include journalists as well as more than 150 arrested during protests against the raids.",turkey detains dozens crackdown lgbtq activists journalists turkish authorities have used accusations
1083,https://www.ilmessaggero.it/politica/ranucci_contestazioni_rai_attacchi_nuovi_conduttori_report-9767470.html,"Ranucci, le contestazioni Rai: attacchi ai nuovi conduttori di Report. Parte l?azione disciplinare","gio, 17 set 2026 00:23:08 +0200",ilmessaggero.it,IT,CRITICAL,KILLING,"Contro cui punta il dito anche il M5S: nel mirino dei pentastellati le affermazioni dell'ex Iena su un giornalista palestinese ucciso, Anas al Sharif, accusato «senza prove» di essere un terrorista.",it,IT,2026-09-17 06:58:23,rss:ilmessaggero.it,validated,media subject and harm action found in returned text,"Contro cui punta il dito anche il M5S: nel mirino dei pentastellati le affermazioni dell'ex Iena su un giornalista palestinese ucciso, Anas al Sharif, accusato «senza prove» di essere un terrorista.",contro cui punta il dito anche il m5s nel mirino dei pentastellati
1086,https://novayagazeta.eu/articles/2026/09/17/kakoi-na-khren-etap-tebia-iz-strany-deportiruiut,"«Какой, на хрен, этап? Тебя из страны депортируют!»","Thu, 17 Sep 2026 11:25:34 +0000",novayagazeta.eu,RU,HIGH,DETENTION,4 сентября прошлого года в Минске были задержаны журналист Кирилл Позняк и его дочь Янина.,ru,RU,2026-09-17 13:17:09,rss:novayagazeta.eu,validated,media subject and harm action found in returned text,4 сентября прошлого года в Минске были задержаны журналист Кирилл Позняк и его дочь Янина.,4
