id,url,title,published_date,domain,country,severity,incident_type,description,language,source_country,collected_at,matched_query,validation_status,validation_reason,evidence_text,incident_fingerprint
173,https://syrianobserver.com/syrian-actors/investigation-underway-in-northern-aleppo-following-murder-of-local-sufi-imam.html,Investigation Underway in Northern Aleppo Following Murder of Local Sufi Imam,"Wed, 26 Aug 2026 21:00:57 +0000",syrianobserver.com,SY,CRITICAL,KILLING,"According to the Syrian Network for Human Rights (SNHR), at least 428 civilians—including 80 children, 33 women, eight medical personnel, and two journalists—were killed across Syria during the first half of 2026.",en,SY,2026-08-27 11:17:39,rss:syrianobserver.com,validated,media subject and harm action found in returned text,"According to the Syrian Network for Human Rights (SNHR), at least 428 civilians—including 80 children, 33 women, eight medical personnel, and two journalists—were killed across Syria during the first half of 2026.",according syrian network for human rights snhr least 428 civilians including 80
174,https://www.thehindu.com/news/international/nepal-flash-floods-increasing-death-toll-many-missing-rescuers-search-for-survivors-live-updates-august-27-2026/article71394802.ece,Nepal flash floods LIVE: High alert in parts of Indian States as rivers are being monitored; India steps up rescue efforts,"Thu, 27 Aug 2026 16:29:40 +0530",www.thehindu.com,IN,CRITICAL,DISAPPEARANCE,"Speaking to reporters here, he called for swift action to locate those missing and stranded, safely bring back survivors and repatraite bodies of the deceased.",en,IN,2026-08-27 11:17:39,rss:www.thehindu.com,validated,media subject and harm action found in returned text,"Speaking to reporters here, he called for swift action to locate those missing and stranded, safely bring back survivors and repatraite bodies of the deceased.",speaking reporters here called for swift action locate those missing stranded safely
175,https://www.theguardian.com/world/2026/aug/26/major-casualties-feared-after-flash-floods-along-nepal-tibet-border,Flash floods on Nepal-Tibet border leave scores dead and hundreds missing,"Wed, 26 Aug 2026 18:28:51 GMT",www.theguardian.com,UK,CRITICAL,KILLING,"In Tibet, China's state broadcaster said at least three people were killed and 265 were missing.",en,UK,2026-08-27 11:17:39,rss:www.theguardian.com,validated,media subject and harm action found in returned text,"In Tibet, China's state broadcaster said at least three people were killed and 265 were missing.",tibet china s state broadcaster least three people killed 265 missing
176,https://www.bbc.co.uk/news/articles/cd948kn02e5o?at_medium=RSS&at_campaign=rss,What we know about deadly Nepal-Tibet floods,"Thu, 27 Aug 2026 09:55:02 GMT",www.bbc.com,UK,CRITICAL,DISAPPEARANCE,"Meanwhile, China's state broadcaster CCTV said on Thursday that the number of people missing in the mudslide disaster in Tibet's Gyirong county had risen to 558.",en,UK,2026-08-27 11:17:39,rss:www.bbc.com,validated,media subject and harm action found in returned text,"Meanwhile, China's state broadcaster CCTV said on Thursday that the number of people missing in the mudslide disaster in Tibet's Gyirong county had risen to 558.",meanwhile china s state broadcaster cctv thursday that number people missing mudslide
45,https://syrianobserver.com/society/hashtag-forced-to-suspend-operations-in-syria-amid-press-freedom-concerns.html,Hashtag Forced to Suspend Operations in Syria Amid Press Freedom Concerns,"Mon, 24 Aug 2026 21:00:32 +0000",syrianobserver.com,SY,MEDIUM,THREAT,"Its journalists faced threats, including death threats, while several members of the organisation were subjected to criminal proceedings that remained unresolved until the fall of Bashar al-Assad's government on 8 December 2024.",en,SY,2026-08-26 13:28:04,rss:syrianobserver.com,validated,media subject and harm action found in returned text,"Its journalists faced threats, including death threats, while several members of the organisation were subjected to criminal proceedings that remained unresolved until the fall of Bashar al-Assad's government on 8 December 2024.",its journalists faced threats including death threats while several members organisation subjected
46,https://www.theguardian.com/world/2026/aug/26/yorgen-fenech-trial-daphne-caruana-galizia-claims-framed,Man on trial for Daphne Caruana Galizia murder claims he was framed,"Wed, 26 Aug 2026 04:00:34 GMT",www.theguardian.com,UK,HIGH,DETENTION,"Man on trial for Daphne Caruana Galizia murder claims he was framed A businessman on trial for the murder of the journalist Daphne Caruana Galizia has spoken about the charges for the first time in court since his arrest seven years ago, telling the jury he was framed by police and had nothing to do with the killing.",en,UK,2026-08-26 13:28:04,rss:www.theguardian.com,validated,media subject and harm action found in returned text,"Man on trial for Daphne Caruana Galizia murder claims he was framed A businessman on trial for the murder of the journalist Daphne Caruana Galizia has spoken about the charges for the first time in court since his arrest seven years ago, telling the jury he was framed by police and had nothing to do with the killing.",man trial for daphne caruana galizia murder framed businessman trial for murder
159,https://economictimes.indiatimes.com/us/news/are-ransom-notes-and-emails-in-nancy-guthries-disappearance-case-legit-and-authentic-fbi-profiler-raises-serious-questions-on-all-communications-amid-ongoing-probe/articleshow/132046196.cms,Are ransom notes and emails in Nancy Guthrie’s disappearance case ‘legit’ and ‘authentic’? FBI profiler raises serious questions on all 'communications' amid ongoing probe,2026-06-28,economictimes.indiatimes.com,IN,CRITICAL,DISAPPEARANCE,"FBI profiler raises serious questions on all 'communications' amid ongoing probe Nancy Guthrie Disappearance Update: As Nancy Guthrie, the 84-year-old mother of NBC journalist and ""Today"" show host Savannah Guthrie, remains missing after nearly five months since she vanished from her home in Tucson Arizona, a FBI profiler has raised questions about the legitimacy of the sender of the email received by TMZ and challenged the authenticity of the ransom notes, including the latest letter.",en,IN,2026-08-26 20:45:44,ccnews:economictimes.indiatimes.com,validated,media subject and harm action found in returned text,"FBI profiler raises serious questions on all 'communications' amid ongoing probe Nancy Guthrie Disappearance Update: As Nancy Guthrie, the 84-year-old mother of NBC journalist and ""Today"" show host Savannah Guthrie, remains missing after nearly five months since she vanished from her home in Tucson Arizona, a FBI profiler has raised questions about the legitimacy of the sender of the email received by TMZ and challenged the authenticity of the ransom notes, including the latest letter.",fbi profiler raises serious questions all communications amid ongoing probe nancy guthrie
160,https://economictimes.indiatimes.com/news/politics-and-nation/opposition-cites-former-editors-passport-voter-roll-ordeal-to-target-centre/articleshow/132047030.cms,"Opposition cites former editor's passport, voter roll ordeal to target Centre",2026-06-28,economictimes.indiatimes.com,IN,HIGH,ATTACK,"Opposition cites former editor's passport, voter roll ordeal to target Centre The Congress, Trinamool Congress and CPI(M) attacked the Centre after former The Telegraph editor R Rajagopal said his passport renewal had been stalled following the deletion of his name from West Bengal's electoral rolls during the Special Intensive Revision (SIR).",en,IN,2026-08-26 20:47:03,ccnews:economictimes.indiatimes.com,validated,media subject and harm action found in returned text,"Opposition cites former editor's passport, voter roll ordeal to target Centre The Congress, Trinamool Congress and CPI(M) attacked the Centre after former The Telegraph editor R Rajagopal said his passport renewal had been stalled following the deletion of his name from West Bengal's electoral rolls during the Special Intensive Revision (SIR).",opposition cites former editor s passport voter roll ordeal target centre congress
161,https://timesofindia.indiatimes.com/world/middle-east/a-tale-of-two-photographs-palestinian-journalists-images-capture-horror-of-israeli-prisons/articleshow/132049911.cms,A tale of two photographs: Palestinian journalist's images capture horror of Israeli prisons,2026-06-28,timesofindia.indiatimes.com,IN,HIGH,DETENTION,"The organisation also said the conflict has seen an unprecedented increase in the targeting of Palestinian journalists, claiming that more than 245 journalists have been arrested since the start of the war, alongside hundreds killed in Gaza.",en,IN,2026-08-26 20:48:20,ccnews:timesofindia.indiatimes.com,validated,media subject and harm action found in returned text,"The organisation also said the conflict has seen an unprecedented increase in the targeting of Palestinian journalists, claiming that more than 245 journalists have been arrested since the start of the war, alongside hundreds killed in Gaza.",organisation also conflict has seen unprecedented increase targeting palestinian journalists claiming that
163,https://www.iranintl.com/en/202606285099,"Iran, Lebanon parliament speakers discuss Lebanon conditions",2026-06-28,www.iranintl.com,IR,HIGH,DETENTION,A journalist in Baghdad told Iran International that the arrests included current and former members of parliament.,en,IR,2026-08-26 20:49:48,ccnews:www.iranintl.com,validated,media subject and harm action found in returned text,A journalist in Baghdad told Iran International that the arrests included current and former members of parliament.,journalist baghdad told iran international that arrests included current former members parliament
164,https://www.iranintl.com/en/202606287361,"Iran says US must force Israel to halt Lebanon attacks, withdraw",2026-06-28,www.iranintl.com,IR,HIGH,DETENTION,A journalist in Baghdad told Iran International that the arrests included current and former members of parliament.,en,IR,2026-08-26 20:49:48,ccnews:www.iranintl.com,validated,media subject and harm action found in returned text,A journalist in Baghdad told Iran International that the arrests included current and former members of parliament.,journalist baghdad told iran international that arrests included current former members parliament
165,https://www.cumhuriyet.com.tr/siyaset/istanbul-onur-yuruyusu-ne-polis-mudahalesi-cok-sayida-kisi-gozaltina-alindi-2516185,İstanbul Onur Yürüyüşü'ne polis müdahalesi: Çok sayıda kişi gözaltına alındı!,2026-06-28,www.cumhuriyet.com.tr,TR,HIGH,DETENTION,"NATO Zirvesi öncesi sırf tüm muhaliflere gözdağı vermek için 178 kişi hukuksuzca tutuklandı, tutuklananlar arasında mücadele arkadaşımız ve gazeteci Yıldız Tar da bulunuyor.",tr,TR,2026-08-26 20:49:48,ccnews:www.cumhuriyet.com.tr,validated,media subject and harm action found in returned text,"NATO Zirvesi öncesi sırf tüm muhaliflere gözdağı vermek için 178 kişi hukuksuzca tutuklandı, tutuklananlar arasında mücadele arkadaşımız ve gazeteci Yıldız Tar da bulunuyor.",nato zirvesi ncesi s rf t m muhaliflere g zda vermek i
166,https://bianet.org/haber/korkmadan-saklanmadan-boyun-egmeden-buradayiz-320975,"“Korkmadan, saklanmadan, boyun eğmeden buradayız”",2026-06-28,bianet.org,TR,HIGH,DETENTION,Şu ana dek Caferağa'daki farklı sokaklardan alana çıkmaya çalışan LGBTİ+'lar ile eylemi takip eden gazeteciler gözaltına alındı.,tr,TR,2026-08-26 20:49:48,ccnews:bianet.org,validated,media subject and harm action found in returned text,Şu ana dek Caferağa'daki farklı sokaklardan alana çıkmaya çalışan LGBTİ+'lar ile eylemi takip eden gazeteciler gözaltına alındı.,u ana dek cafera daki farkl sokaklardan alana kmaya al lgbti lar
167,https://bianet.org/haber/lgbti-lar-yasak-tanimadi-kadikoy-de-24-istanbul-onur-yuruyusu-320972,LGBTİ+'lar yasak tanımadı: Kadıköy'de 24. İstanbul Onur Yürüyüşü,2026-06-28,bianet.org,TR,HIGH,DETENTION,Polisın müdahalesiyle en az beş ayrı gruptan en az 50 kişi gözaltına alındı; gözaltına alınanlar arasında gazeteciler de bulunuyor.,tr,TR,2026-08-26 20:49:48,ccnews:bianet.org,validated,media subject and harm action found in returned text,Polisın müdahalesiyle en az beş ayrı gruptan en az 50 kişi gözaltına alındı; gözaltına alınanlar arasında gazeteciler de bulunuyor.,polis n m dahalesiyle en az be ayr gruptan en az 50
